name,long,lat
other,-90.28169995,38.65367804
other,-90.28175737,38.65368153
pyrus calleryana,-90.28514266,38.64842951
other,-90.28073138,38.64814906
platanus acerifolia,-90.23876331,38.71747637
gleditsia triacanthos,-90.23305755,38.71412056
other,-90.23879335,38.71409725
other,-90.27608176,38.65311846
acer rubrum,-90.28423078,38.64847508
acer rubrum,-90.28411403,38.64847096
other,-90.24004126,38.71783382
gleditsia triacanthos,-90.27196459,38.65241566
other,-90.284058,38.65122503
other,-90.28384728,38.6511979
other,-90.28292594,38.65111617
other,-90.28738074,38.65411783
other,-90.24292561,38.59332745
other,-90.24308756,38.59319366
fraxinus pennsylvanica,-90.27240784,38.65257803
fraxinus pennsylvanica,-90.27254708,38.65258992
other,-90.28404593,38.65111622
other,-90.28333294,38.65115648
other,-90.29356511,38.65111728
tilia cordata,-90.26118433,38.60253834
other,-90.24591635,38.57989401
quercus palustris,-90.24596341,38.58017344
tilia cordata,-90.24546884,38.58078201
acer saccharum,-90.25892432,38.59611913
other,-90.28814311,38.65429495
other,-90.28822211,38.65430129
fraxinus pennsylvanica,-90.26064333,38.6044633
other,-90.26048435,38.60446739
other,-90.2497231,38.60270826
other,-90.24974698,38.60262137
fraxinus pennsylvanica,-90.24756041,38.58017367
other,-90.24910426,38.5802937
fraxinus pennsylvanica,-90.24773282,38.58157128
other,-90.25349721,38.58574821
other,-90.25117534,38.59519379
quercus palustris,-90.22704867,38.72549523
other,-90.22719653,38.72423155
quercus palustris,-90.23247742,38.72578906
other,-90.22823474,38.72646099
other,-90.22830311,38.72644906
other,-90.23150045,38.72132508
other,-90.23503714,38.7214852
acer rubrum,-90.29331743,38.65832428
other,-90.2400702,38.71617128
quercus palustris,-90.2400488,38.71627898
other,-90.23692494,38.71479272
other,-90.2807258,38.65358166
other,-90.2808033,38.65359024
acer saccharum,-90.25676337,38.6031307
acer rubrum,-90.25665449,38.60312756
other,-90.24032476,38.72056512
other,-90.2402323,38.71354755
tilia cordata,-90.28366456,38.64856628
other,-90.28483533,38.65041936
other,-90.28478762,38.65059471
tilia cordata,-90.2834837,38.65372896
other,-90.28901512,38.64886982
other,-90.29110478,38.65051644
pyrus calleryana,-90.29154386,38.65073456
other,-90.29401564,38.65018301
quercus palustris,-90.24901275,38.59794531
other,-90.23011861,38.70726268
other,-90.20182822,38.74447067
other,-90.20339988,38.74294052
other,-90.26108254,38.66370039
other,-90.28433766,38.66070379
other,-90.28374922,38.66064426
other,-90.28260687,38.66053533
pyrus calleryana,-90.24087818,38.71771549
other,-90.23881195,38.71402674
other,-90.28338225,38.64976313
quercus palustris,-90.28376952,38.64858247
other,-90.28419344,38.64850034
other,-90.29007523,38.64944773
other,-90.28866814,38.64883388
other,-90.25769381,38.60210803
other,-90.25651683,38.60200703
other,-90.2904403,38.64983799
other,-90.25525627,38.60020642
acer saccharum,-90.24993058,38.58214983
other,-90.24969098,38.58172511
acer saccharum,-90.25050986,38.58324801
acer saccharum,-90.25093603,38.58336137
platanus acerifolia,-90.25002693,38.58679416
quercus palustris,-90.24879727,38.58602238
acer rubrum,-90.24893536,38.58593438
acer saccharum,-90.25020978,38.586815
other,-90.2594595,38.58692285
other,-90.24771672,38.59653115
acer saccharum,-90.24887178,38.59664668
other,-90.24768734,38.59764847
quercus palustris,-90.24849325,38.59778954
other,-90.24869082,38.59775659
quercus palustris,-90.24939703,38.59777567
other,-90.24551837,38.71840727
acer rubrum,-90.26038336,38.66464666
other,-90.26344607,38.66291138
quercus palustris,-90.23883894,38.71689024
tilia cordata,-90.23874628,38.71756533
other,-90.28470141,38.64983243
fraxinus pennsylvanica,-90.2836272,38.64844084
other,-90.28303546,38.64837483
pyrus calleryana,-90.27965356,38.64803015
fraxinus pennsylvanica,-90.27894825,38.64795479
pyrus calleryana,-90.25258037,38.60073148
other,-90.25168049,38.60065146
fraxinus pennsylvanica,-90.25543518,38.6021451
fraxinus pennsylvanica,-90.2327808,38.71105944
