,name,long,lat
315,other,-115.2070487,36.14435316
316,other,-115.2069133,36.14435059
317,other,-115.2067828,36.14435154
318,other,-115.2066469,36.1443499
319,other,-115.2064874,36.14435018
320,other,-115.20634,36.14434779
321,other,-115.2057775,36.14434512
322,other,-115.2056022,36.14434372
323,other,-115.2054278,36.14434245
324,other,-115.2051693,36.14434092
325,other,-115.2050522,36.14434255
326,other,-115.2049274,36.14433944
327,other,-115.204777,36.14433782
328,other,-115.2041256,36.14433411
329,other,-115.2035681,36.14432991
330,other,-115.2033955,36.14433051
331,other,-115.2032424,36.14432616
332,other,-115.1518772,36.17186702
333,other,-115.1518227,36.17190511
334,other,-115.1518086,36.17192349
335,other,-115.151749,36.17195589
336,other,-115.1516472,36.17202784
337,other,-115.1516173,36.17205183
338,other,-115.1515769,36.17208714
339,other,-115.2028945,36.14432637
340,other,-115.202575,36.14432512
341,other,-115.2024277,36.14432203
342,other,-115.2022824,36.1443235
343,other,-115.2021293,36.14432196
344,other,-115.2017577,36.14432069
345,other,-115.2015887,36.14432121
346,other,-115.2014096,36.14432251
347,other,-115.2010875,36.14431577
348,other,-115.2003827,36.14430783
349,other,-115.1738179,36.14433788
350,other,-115.1739804,36.14433707
351,other,-115.174093,36.14433664
352,other,-115.1741564,36.14433144
353,other,-115.1742182,36.14432219
354,other,-115.1759587,36.14432344
355,other,-115.1760288,36.14432338
356,other,-115.1760851,36.14431918
357,other,-115.1814108,36.14432984
358,other,-115.181483,36.14433154
359,other,-115.1825852,36.1443745
360,other,-115.1826623,36.14437131
361,other,-115.1827272,36.14437402
362,other,-115.182855,36.14437387
363,other,-115.1829792,36.14436577
364,other,-115.1830433,36.14435976
365,other,-115.1831162,36.14434883
366,other,-115.1832789,36.14434644
367,other,-115.1843171,36.14437698
368,other,-115.1843981,36.14436932
369,other,-115.1844818,36.14435956
370,other,-115.184577,36.14435308
371,other,-115.1847127,36.14435411
372,other,-115.184803,36.14435594
373,other,-115.185002,36.14435613
374,other,-115.1859685,36.14439707
375,other,-115.1861027,36.14439625
376,other,-115.1861857,36.14439804
377,other,-115.1863008,36.14440055
378,other,-115.1863759,36.14440256
379,other,-115.1865429,36.14439385
380,other,-115.1866037,36.14438982
381,other,-115.1867169,36.14438995
382,other,-115.1867955,36.1443887
383,other,-115.1868833,36.14438648
384,other,-115.186986,36.14438806
385,other,-115.1871002,36.14438806
386,other,-115.1871921,36.14438338
387,other,-115.1873019,36.14438487
388,other,-115.1873579,36.14438541
389,other,-115.1874182,36.14438825
390,other,-115.1875053,36.14438241
391,other,-115.1875602,36.14438049
392,other,-115.1884421,36.14441519
393,other,-115.1885173,36.14442012
394,other,-115.1885878,36.14441806
395,other,-115.188686,36.14441719
396,other,-115.1888189,36.14441149
397,other,-115.1888908,36.1444064
398,other,-115.1889913,36.14440554
399,other,-115.1890663,36.14440826
400,other,-115.1892578,36.14440687
401,other,-115.1893237,36.14440012
402,other,-115.1929567,36.14444542
403,other,-115.1930317,36.14443875
404,other,-115.1931123,36.14442525
405,other,-115.1931813,36.14442229
406,other,-115.193261,36.14441958
407,other,-115.1933324,36.1444211
408,other,-115.1934288,36.14441843
409,other,-115.1935065,36.14441911
410,other,-115.1945287,36.14445898
411,other,-115.194607,36.14446037
412,other,-115.1946983,36.14445927
413,other,-115.1947865,36.14445956
414,other,-115.1948741,36.14446342
415,other,-115.1950454,36.14445757
416,other,-115.1951354,36.14445458
417,other,-115.1952402,36.14444681
418,other,-115.1953429,36.1444361
419,other,-115.1954183,36.14443449
420,other,-115.1954908,36.14443414
421,other,-115.1961949,36.14447245
422,other,-115.1962924,36.1444722
423,other,-115.1963747,36.14447217
424,other,-115.1964827,36.14447253
425,other,-115.1965787,36.14447185
426,other,-115.1966867,36.14446605
427,other,-115.1967757,36.14445862
428,other,-115.196869,36.14445782
429,other,-115.196964,36.14445846
430,other,-115.1970331,36.14445892
431,other,-115.19713,36.14445957
432,other,-115.1972113,36.14446013
433,other,-115.1973106,36.14445119
434,other,-115.1973879,36.14444746
435,other,-115.1974626,36.14444915
436,other,-115.1981746,36.1444844
437,other,-115.1982327,36.14448203
438,other,-115.1983117,36.14448641
439,other,-115.1984165,36.14448482
440,other,-115.1984854,36.14448321
441,other,-115.1985884,36.14447785
442,other,-115.198671,36.14446996
443,other,-115.1987836,36.14447072
444,other,-115.198915,36.14445798
445,other,-115.1989875,36.14445656
446,other,-115.1990642,36.14445406
447,other,-115.1991515,36.14445553
448,other,-115.1992294,36.14445716
449,other,-115.2003161,36.14450071
450,other,-115.2003948,36.14450059
451,other,-115.2004749,36.14450227
452,other,-115.2006663,36.1445036
453,other,-115.2007589,36.14450333
454,other,-115.2008481,36.14449659
455,other,-115.2009232,36.1444927
456,other,-115.2010818,36.14449003
457,other,-115.2012838,36.14448052
458,other,-115.2014608,36.14447365
459,other,-115.202384,36.14451185
460,other,-115.2024534,36.14451294
461,other,-115.1549799,36.16836172
462,other,-115.1549402,36.16841262
463,other,-115.1546004,36.16874568
464,other,-115.1545696,36.16878953
465,other,-115.1545326,36.16884044
466,other,-115.1544886,36.16890338
467,other,-115.1544754,36.16891822
468,other,-115.1544404,36.16898084
469,other,-115.1543991,36.1690367
470,other,-115.1543919,36.16905723
471,other,-115.1543585,36.16910036
472,other,-115.1543443,36.1691315
473,other,-115.1542968,36.1692001
474,other,-115.1542783,36.16922627
475,other,-115.1542589,36.16925526
476,other,-115.1541432,36.1696306
477,other,-115.1541273,36.16965961
478,other,-115.1541025,36.16970915
479,other,-115.1540823,36.16973176
480,other,-115.154055,36.16977136
481,other,-115.1540346,36.16980816
482,other,-115.1608546,36.18450505
483,other,-115.1552804,36.16695232
484,other,-115.1552767,36.16699909
485,other,-115.1552868,36.16705585
486,other,-115.1552935,36.16711401
487,other,-115.1552985,36.16716223
488,other,-115.1553026,36.16720868
489,other,-115.1553013,36.16729092
490,other,-115.1553064,36.16731504
491,other,-115.1552948,36.16735187
492,other,-115.1553052,36.16737175
493,other,-115.1551166,36.16813676
494,other,-115.1551069,36.16815728
495,other,-115.1550459,36.16826695
496,other,-115.1550275,36.16828178
497,other,-115.1550063,36.16831431
498,other,-115.1540081,36.16984706
499,other,-115.153972,36.16989726
500,other,-115.1539446,36.16994467
501,other,-115.1532192,36.17077864
502,other,-115.1531841,36.17080261
503,other,-115.1531402,36.1708294
504,other,-115.1531016,36.17086045
505,other,-115.1530559,36.17089432
506,other,-115.1529506,36.17097051
507,other,-115.152926,36.17098601
508,other,-115.1528698,36.17102694
509,other,-115.15285,36.17104483
510,other,-115.1528295,36.17105798
511,other,-115.1527923,36.17108546
512,other,-115.1527514,36.17111342
513,other,-115.1526732,36.17117085
514,other,-115.1526187,36.17120753
515,other,-115.1525626,36.17124986
516,other,-115.1524397,36.17133166
517,other,-115.1524169,36.17134575
518,other,-115.1523677,36.17138812
519,other,-115.1523431,36.17139937
520,other,-115.1523326,36.17141635
521,other,-115.1523062,36.17143326
522,other,-115.1522799,36.17146011
523,other,-115.1526743,36.17128287
524,other,-115.1526532,36.17129981
525,other,-115.1526357,36.17131393
526,other,-115.1525918,36.17135205
527,other,-115.1525584,36.17137746
528,other,-115.1525232,36.17140286
529,other,-115.1524916,36.17142685
530,other,-115.152446,36.17146496
531,other,-115.1523512,36.17152134
532,other,-115.1523266,36.17154394
533,other,-115.1522722,36.17157919
534,other,-115.1522301,36.17160314
535,other,-115.1522002,36.17163849
536,other,-115.1520913,36.17171182
537,other,-115.152044,36.17174568
538,other,-115.1519966,36.17177529
539,other,-115.1519018,36.1718501
540,other,-115.2572486,36.14378071
541,other,-115.2573413,36.14378109
542,other,-115.2574192,36.14377487
543,other,-115.2575013,36.14376501
544,other,-115.2576326,36.1437421
545,other,-115.2577054,36.14373893
546,other,-115.2578361,36.14372963
547,other,-115.2579477,36.14372741
548,other,-115.2580879,36.1437229
549,other,-115.2581732,36.14372347
550,other,-115.2593491,36.14372325
551,other,-115.2594307,36.14372119
552,other,-115.2594978,36.14372149
553,other,-115.2595641,36.14371723
554,other,-115.2597399,36.1437127
555,other,-115.2597999,36.14369887
556,other,-115.2598696,36.14368494
557,other,-115.2619905,36.143704
558,other,-115.2620461,36.14369581
559,other,-115.2621434,36.14368175
560,other,-115.2622544,36.14368099
561,other,-115.2623139,36.14368006
562,other,-115.2624025,36.14368146
563,other,-115.2624587,36.14368402
564,other,-115.262529,36.14368496
565,other,-115.2637241,36.1437482
566,other,-115.2638767,36.14373941
567,other,-115.2639774,36.1437287
568,other,-115.2640584,36.14372259
569,other,-115.2641331,36.14372161
570,other,-115.2642571,36.14372594
571,other,-115.2654422,36.14378878
572,other,-115.2655096,36.14379185
573,other,-115.1370968,36.16761407
574,other,-115.1366136,36.16740739
575,other,-115.1365212,36.16736743
576,other,-115.1364367,36.16732938
577,other,-115.1363424,36.16728863
578,other,-115.1362488,36.16743638
