,state,year,condition,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
3018,florida,1998,min ,10.0,9.0,11.0,14.0,18.0,22.0,23.0,23.0,22.0,18.0,15.0,12.0
3019,florida,1998,max ,21.0,21.0,23.0,27.0,32.0,35.0,34.0,33.0,31.0,29.0,26.0,24.0
3020,florida,1998,mean ,16.0,16.0,17.0,21.0,25.0,29.0,28.0,28.0,27.0,24.0,21.0,18.0
3033,florida,2003,min ,4.0,9.0,16.0,14.0,19.0,22.0,22.0,22.0,21.0,17.0,14.0,6.0
3034,florida,2003,max ,18.0,23.0,26.0,27.0,31.0,31.0,32.0,32.0,31.0,28.0,26.0,20.0
3035,florida,2003,mean ,11.0,16.0,21.0,21.0,26.0,27.0,27.0,27.0,26.0,23.0,20.0,13.0
3048,florida,2008,min ,8.0,10.0,11.0,14.0,18.0,21.0,22.0,23.0,21.0,16.0,9.0,10.0
3049,florida,2008,max ,21.0,24.0,24.0,27.0,31.0,33.0,32.0,32.0,31.0,27.0,23.0,23.0
3050,florida,2008,mean ,14.0,17.0,18.0,21.0,24.0,27.0,27.0,27.0,26.0,22.0,16.0,17.0
3063,florida,2013,min ,12.0,10.0,8.0,16.0,17.0,22.0,22.0,23.0,22.0,18.0,14.0,12.0
3064,florida,2013,max ,23.0,23.0,22.0,28.0,29.0,32.0,31.0,32.0,31.0,28.0,24.0,23.0
3065,florida,2013,mean ,18.0,16.0,15.0,22.0,23.0,27.0,27.0,28.0,27.0,23.0,19.0,18.0
3078,florida,2018,min ,7.0,15.0,10.0,14.0,19.0,22.0,23.0,23.0,23.0,19.0,13.0,11.0
3079,florida,2018,max ,18.0,26.0,24.0,28.0,29.0,32.0,33.0,33.0,33.0,30.0,25.0,22.0
3080,florida,2018,mean ,13.0,21.0,17.0,21.0,24.0,27.0,28.0,28.0,28.0,24.0,19.0,16.0
3093,florida,2023,min ,9.0,13.0,14.0,17.0,18.0,21.0,23.0,24.0,22.0,17.0,,
3094,florida,2023,max ,23.0,26.0,27.0,29.0,31.0,32.0,34.0,34.0,32.0,28.0,,
3095,florida,2023,mean ,16.0,19.0,21.0,23.0,24.0,27.0,29.0,29.0,27.0,23.0,,
4893,iowa,1978,min ,-18.0,-17.0,-7.0,3.0,9.0,14.0,17.0,15.0,13.0,3.0,-4.0,-12.0
4894,iowa,1978,max ,-8.0,-6.0,4.0,14.0,21.0,27.0,28.0,28.0,26.0,17.0,7.0,-3.0
4895,iowa,1978,mean ,-13.0,-12.0,-1.0,9.0,15.0,21.0,22.0,22.0,19.0,9.0,2.0,-7.0
4908,iowa,1983,min ,-9.0,-6.0,-2.0,1.0,7.0,14.0,18.0,18.0,11.0,4.0,-1.0,-18.0
4909,iowa,1983,max ,-1.0,2.0,6.0,11.0,19.0,27.0,31.0,32.0,24.0,16.0,7.0,-9.0
4910,iowa,1983,mean ,-5.0,-2.0,2.0,6.0,13.0,21.0,25.0,26.0,18.0,11.0,3.0,-14.0
4923,iowa,1988,min ,-15.0,-13.0,-4.0,1.0,11.0,15.0,17.0,17.0,11.0,1.0,-3.0,-9.0
4924,iowa,1988,max ,-4.0,-2.0,10.0,17.0,26.0,31.0,31.0,31.0,25.0,14.0,8.0,2.0
4925,iowa,1988,mean ,-9.0,-8.0,3.0,9.0,18.0,23.0,24.0,24.0,18.0,8.0,3.0,-4.0
4938,iowa,1993,min ,-13.0,-11.0,-5.0,1.0,9.0,13.0,17.0,17.0,8.0,3.0,-4.0,-8.0
4939,iowa,1993,max ,-3.0,-4.0,3.0,13.0,21.0,25.0,27.0,27.0,19.0,16.0,6.0,1.0
4940,iowa,1993,mean ,-8.0,-8.0,-1.0,7.0,15.0,19.0,22.0,22.0,14.0,9.0,1.0,-4.0
4953,iowa,1998,min ,-9.0,-2.0,-4.0,4.0,12.0,14.0,17.0,17.0,13.0,6.0,-1.0,-7.0
4954,iowa,1998,max ,-1.0,5.0,4.0,15.0,24.0,24.0,28.0,28.0,27.0,17.0,9.0,4.0
4955,iowa,1998,mean ,-5.0,1.0,0.0,9.0,18.0,19.0,23.0,22.0,20.0,12.0,4.0,-2.0
4968,iowa,2003,min ,-13.0,-13.0,-4.0,3.0,8.0,13.0,17.0,16.0,9.0,3.0,-3.0,-7.0
4969,iowa,2003,max ,-2.0,-1.0,8.0,17.0,21.0,26.0,29.0,30.0,23.0,18.0,7.0,2.0
4970,iowa,2003,mean ,-7.0,-7.0,2.0,10.0,14.0,19.0,23.0,23.0,16.0,11.0,2.0,-2.0
4983,iowa,2008,min ,-14.0,-13.0,-5.0,2.0,7.0,14.0,17.0,14.0,11.0,4.0,-2.0,-14.0
4984,iowa,2008,max ,-4.0,-4.0,5.0,13.0,21.0,27.0,28.0,27.0,23.0,17.0,8.0,-3.0
4985,iowa,2008,mean ,-9.0,-8.0,0.0,8.0,14.0,21.0,23.0,21.0,17.0,10.0,3.0,-8.0
4998,iowa,2013,min ,-11.0,-9.0,-7.0,1.0,9.0,15.0,16.0,16.0,12.0,4.0,-5.0,-13.0
4999,iowa,2013,max ,-1.0,0.0,3.0,12.0,21.0,26.0,28.0,28.0,26.0,16.0,6.0,-3.0
5000,iowa,2013,mean ,-6.0,-4.0,-2.0,6.0,15.0,20.0,22.0,22.0,19.0,10.0,1.0,-8.0
5013,iowa,2018,min ,-13.0,-12.0,-3.0,-2.0,13.0,17.0,17.0,16.0,13.0,3.0,-6.0,-7.0
5014,iowa,2018,max ,-3.0,-2.0,6.0,10.0,26.0,28.0,28.0,28.0,24.0,14.0,3.0,2.0
5015,iowa,2018,mean ,-8.0,-7.0,2.0,4.0,19.0,23.0,23.0,22.0,18.0,9.0,-1.0,-2.0
5028,iowa,2023,min ,-8.0,-9.0,-4.0,2.0,9.0,14.0,16.0,16.0,12.0,6.0,,
5029,iowa,2023,max ,-1.0,2.0,6.0,17.0,24.0,28.0,28.0,28.0,26.0,18.0,,
5030,iowa,2023,mean ,-4.0,-3.0,1.0,9.0,17.0,22.0,22.0,22.0,19.0,12.0,,
5280,kansas,1978,min ,-13.0,-11.0,-2.0,6.0,10.0,16.0,19.0,17.0,14.0,4.0,-1.0,-8.0
5281,kansas,1978,max ,-2.0,-1.0,12.0,20.0,23.0,30.0,35.0,33.0,30.0,22.0,11.0,5.0
5282,kansas,1978,mean ,-7.0,-6.0,5.0,13.0,16.0,23.0,27.0,25.0,22.0,13.0,5.0,-2.0
5295,kansas,1983,min ,-6.0,-4.0,0.0,2.0,8.0,14.0,19.0,21.0,13.0,8.0,1.0,-14.0
5296,kansas,1983,max ,4.0,7.0,11.0,14.0,22.0,28.0,35.0,37.0,29.0,20.0,12.0,-4.0
5297,kansas,1983,mean ,-1.0,2.0,5.0,8.0,15.0,21.0,27.0,28.0,22.0,14.0,6.0,-9.0
5310,kansas,1988,min ,-10.0,-8.0,-2.0,3.0,12.0,17.0,18.0,18.0,13.0,4.0,-1.0,-6.0
5311,kansas,1988,max ,2.0,7.0,14.0,19.0,26.0,33.0,32.0,33.0,28.0,19.0,14.0,10.0
5312,kansas,1988,mean ,-4.0,0.0,6.0,11.0,19.0,25.0,26.0,26.0,20.0,12.0,7.0,2.0
